model_id,task_id,item_id,shot,gpt_total,kimi_total,dual_total,primary_configuration,gpt_family_value,gpt_context_fit,gpt_coherence,gpt_clarity,kimi_family_value,kimi_context_fit,kimi_coherence,kimi_clarity,gpt_plot_logic,gpt_characterization,gpt_emotion,kimi_plot_logic,kimi_characterization,kimi_emotion,gpt_content_fidelity,gpt_style_fit,gpt_value_expression,kimi_content_fidelity,kimi_style_fit,kimi_value_expression
Mistral-7B-Instruct-v0.3,continuation,CON-064,0,33.0,45.0,39.0,True,30,75,25,20,45.0,70.0,40.0,35.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-058,0,69.1,63.0,66.05,True,,,,82,,,,70.0,,,,,,,86,55,80,75.0,55.0,65.0
deepseek-llm-7b-chat,story_generation,GEN-070,0,61.25,47.95,54.6,True,65,,,,52.0,,,,60,60,55,45.0,48.0,42.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-050,0,51.9,42.25,47.075,True,68,70,60,0,55.0,45.0,40.0,25.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-097,0,71.4,45.5,58.45,True,,,,65,,,,35.0,,,,,,,82,68,80,55.0,45.0,50.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-027,0,89.0,80.15,84.575,True,90,88,88,90,82.0,78.0,75.0,88.0,,,,,,,,,,,,
glm-4-9b-chat,continuation,CON-088,0,78.6,61.25,69.925,True,82,90,70,80,55.0,75.0,50.0,80.0,,,,,,,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-088,0,81.5,84.55,83.025,False,84,,,,88.0,,,,78,82,80,85.0,82.0,78.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-017,0,79.15,69.15,74.15,True,82,,,,72.0,,,,78,78,75,65.0,68.0,70.0,,,,,,
internlm2_5-7b-chat,rewriting,REW-095,0,71.6,49.5,60.55,True,,,,82,,,,60.0,,,,,,,80,64,72,55.0,45.0,40.0
glm-4-9b-chat,continuation,CON-069,0,69.3,57.0,63.15,True,70,78,60,78,55.0,60.0,50.0,70.0,,,,,,,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-068,0,74.0,60.75,67.375,True,78,,,,65.0,,,,72,70,72,55.0,60.0,60.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-094,0,68.9,62.5,65.7,True,,,,76,,,,75.0,,,,,,,70,65,72,85.0,45.0,80.0
Qwen3-8B-Thinking,rewriting,REW-066,0,85.4,72.0,78.7,False,,,,86,,,,75.0,,,,,,,88,84,86,75.0,70.0,70.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-099,0,60.2,65.55,62.875,True,75,70,72,10,72.0,68.0,65.0,55.0,,,,,,,,,,,,
internlm2_5-7b-chat,continuation,CON-061,0,36.7,41.75,39.225,True,35,78,30,20,45.0,55.0,40.0,30.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-045,0,89.1,87.25,88.175,True,88,90,88,92,88.0,85.0,86.0,90.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-091,0,81.8,62.5,72.15,True,,,,86,,,,75.0,,,,,,,86,78,84,65.0,55.0,70.0
Mistral-7B-Instruct-v0.3,rewriting,REW-088,0,74.4,61.0,67.7,True,,,,76,,,,60.0,,,,,,,85,68,82,75.0,55.0,65.0
Baichuan2-7B-Chat,story_generation,GEN-076,0,78.95,49.5,64.225,True,84,,,,55.0,,,,80,78,65,50.0,45.0,40.0,,,,,,
Doubao,rewriting,REW-034,0,81.4,78.7,80.05000000000001,True,,,,86,,,,85.0,,,,,,,85,78,82,82.0,75.0,78.0
QwQ-32B,rewriting,REW-048,0,81.4,69.5,75.45,True,,,,80,,,,60.0,,,,,,,82,82,80,65.0,75.0,70.0
internlm2_5-7b-chat,rewriting,REW-025,0,73.8,64.5,69.15,True,,,,78,,,,75.0,,,,,,,78,70,76,55.0,65.0,60.0
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-017,0,89.4,80.8,85.1,True,,,,90,,,,85.0,,,,,,,88,90,88,75.0,82.0,78.0
Baichuan2-7B-Chat,continuation,CON-026,0,35.75,32.75,34.25,True,45,55,40,0,35.0,45.0,30.0,25.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,continuation,CON-039,0,34.5,36.75,35.625,True,45,40,40,5,45.0,40.0,35.0,25.0,,,,,,,,,,,,
Doubao,continuation,CON-044,0,81.8,86.45,84.125,True,82,82,78,88,88.0,82.0,85.0,90.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-091,0,79.8,70.5,75.15,True,,,,84,,,,80.0,,,,,,,84,76,82,75.0,65.0,70.0
Qwen3-8B-NonThinking,continuation,CON-090,0,48.7,62.75,55.725,True,55,76,48,20,65.0,75.0,60.0,55.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-022,0,61.75,38.75,50.25,True,70,,,,45.0,,,,60,45,65,35.0,30.0,40.0,,,,,,
glm-4-9b-chat,rewriting,REW-039,0,63.8,51.5,57.65,True,,,,70,,,,65.0,,,,,,,65,60,68,55.0,45.0,50.0
Qwen2.5-7B-Instruct,continuation,CON-067,0,37.75,53.25,45.5,True,45,50,45,5,55.0,75.0,50.0,40.0,,,,,,,,,,,,
glm-4-9b-chat,rewriting,REW-008,0,74.6,63.0,68.8,True,,,,80,,,,70.0,,,,,,,82,68,82,75.0,55.0,65.0
glm-4-9b-chat,rewriting,REW-007,0,79.7,64.9,72.30000000000001,True,,,,84,,,,75.0,,,,,,,84,75,86,72.0,58.0,65.0
Doubao,story_generation,GEN-014,0,72.2,86.75,79.475,True,76,,,,88.0,,,,64,72,76,85.0,90.0,82.0,,,,,,
Mistral-7B-Instruct-v0.3,continuation,CON-013,0,49.95,20.5,35.225,True,58,55,58,20,25.0,20.0,20.0,15.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-035,0,69.1,50.5,59.8,True,,,,78,,,,60.0,,,,,,,60,70,65,55.0,45.0,50.0
QwQ-32B,continuation,CON-037,0,65.9,89.05,77.475,True,55,80,60,82,88.0,85.0,90.0,92.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-025,0,58.5,55.5,57.0,True,,,,70,,,,70.0,,,,,,,55,55,60,45.0,55.0,50.0
Qwen3-8B-Thinking,continuation,CON-065,0,60.7,68.85,64.775,False,75,80,72,5,78.0,75.0,72.0,45.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-007,0,61.5,50.5,56.0,True,,,,74,,,,58.0,,,,,,,65,55,62,52.0,48.0,45.0
chatglm3-6b,rewriting,REW-088,0,77.0,50.5,63.75,True,,,,84,,,,60.0,,,,,,,82,72,78,55.0,45.0,50.0
chatglm3-6b,rewriting,REW-045,0,57.0,52.5,54.75,True,,,,55,,,,50.0,,,,,,,55,60,50,45.0,55.0,60.0
deepseek-llm-7b-chat,rewriting,REW-072,0,72.7,49.5,61.1,True,,,,70,,,,50.0,,,,,,,70,75,72,55.0,45.0,60.0
Baichuan2-7B-Chat,rewriting,REW-026,0,45.5,36.0,40.75,True,,,,70,,,,40.0,,,,,,,65,25,60,55.0,25.0,45.0
Qwen3-8B-NonThinking,story_generation,GEN-024,0,81.9,75.0,78.45,True,86,,,,75.0,,,,80,76,82,72.0,78.0,76.0,,,,,,
Doubao,continuation,CON-031,0,83.1,85.85,84.475,True,82,86,80,88,88.0,85.0,82.0,90.0,,,,,,,,,,,,
Baichuan2-7B-Chat,continuation,CON-080,0,41.45,32.75,37.1,True,45,78,35,20,35.0,45.0,30.0,25.0,,,,,,,,,,,,
chatglm3-6b,story_generation,GEN-094,0,56.25,49.5,52.875,True,60,,,,55.0,,,,55,55,50,50.0,45.0,40.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-067,0,41.1,32.75,36.925,True,46,54,48,12,35.0,45.0,30.0,25.0,,,,,,,,,,,,
Baichuan2-7B-Chat,rewriting,REW-045,0,54.4,41.5,47.95,True,,,,63,,,,55.0,,,,,,,55,50,58,45.0,35.0,40.0
chatglm3-6b,continuation,CON-088,0,40.75,29.25,35.0,True,45,70,45,5,35.0,40.0,25.0,20.0,,,,,,,,,,,,
Baichuan2-7B-Chat,rewriting,REW-083,0,44.5,47.5,46.0,True,,,,55,,,,50.0,,,,,,,55,35,50,55.0,45.0,40.0
Mistral-7B-Instruct-v0.3,story_generation,GEN-067,0,40.25,40.0,40.125,True,35,,,,45.0,,,,45,45,40,35.0,40.0,35.0,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-005,0,82.4,49.5,65.95,True,86,,,,55.0,,,,82,82,74,50.0,45.0,40.0,,,,,,
Qwen3-8B-NonThinking,story_generation,GEN-016,0,84.2,72.1,78.15,True,88,,,,75.0,,,,80,82,84,70.0,72.0,68.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-056,0,71.25,59.3,65.275,True,70,,,,62.0,,,,72,70,75,58.0,55.0,60.0,,,,,,
deepseek-llm-7b-chat,continuation,CON-044,0,37.5,40.75,39.125,True,45,55,45,0,45.0,55.0,40.0,25.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-036,0,66.9,58.1,62.5,True,72,,,,62.0,,,,62,68,60,58.0,55.0,52.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-060,0,52.35,49.3,50.825,True,45,,,,52.0,,,,55,58,60,48.0,45.0,50.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-097,0,78.3,51.0,64.65,True,82,,,,55.0,,,,76,80,70,50.0,45.0,50.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-067,0,66.95,63.75,65.35,True,78,,,,65.0,,,,68,60,45,70.0,60.0,55.0,,,,,,
chatglm3-6b,continuation,CON-100,0,23.25,40.75,32.0,True,25,40,25,5,45.0,55.0,40.0,25.0,,,,,,,,,,,,
internlm2_5-7b-chat,continuation,CON-031,0,36.0,51.75,43.875,True,40,70,30,15,55.0,65.0,50.0,40.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,story_generation,GEN-048,0,78.0,71.05,74.525,True,82,,,,72.0,,,,72,76,80,68.0,70.0,75.0,,,,,,
internlm2_5-7b-chat,continuation,CON-021,0,61.0,51.5,56.25,True,75,75,75,5,55.0,75.0,45.0,40.0,,,,,,,,,,,,
Baichuan2-7B-Chat,continuation,CON-053,0,43.45,40.75,42.1,True,50,65,42,20,45.0,55.0,40.0,25.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,continuation,CON-016,0,60.3,48.0,54.15,True,75,82,70,5,55.0,70.0,40.0,35.0,,,,,,,,,,,,
chatglm3-6b,continuation,CON-012,0,64.5,42.75,53.625,True,78,84,70,20,45.0,55.0,40.0,35.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-011,0,57.15,47.75,52.45,True,55,70,45,72,45.0,55.0,40.0,60.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-080,0,67.2,61.0,64.1,True,,,,72,,,,60.0,,,,,,,75,60,78,75.0,55.0,65.0
chatglm3-6b,continuation,CON-092,0,29.75,40.75,35.25,True,35,40,35,5,45.0,60.0,35.0,30.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-072,0,88.4,85.4,86.9,True,88,90,86,92,85.0,88.0,82.0,90.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-059,0,68.7,53.3,61.0,True,75,,,,55.0,,,,70,55,68,58.0,45.0,52.0,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-061,0,43.7,49.25,46.475,True,48,,,,55.0,,,,35,45,45,45.0,50.0,40.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-047,0,81.0,70.7,75.85,True,86,,,,75.0,,,,82,78,70,70.0,65.0,68.0,,,,,,
deepseek-llm-7b-chat,rewriting,REW-021,0,68.0,60.3,64.15,True,,,,70,,,,72.0,,,,,,,55,72,70,52.0,58.0,65.0
deepseek-llm-7b-chat,continuation,CON-030,0,40.75,51.25,46.0,True,50,60,45,5,55.0,75.0,50.0,30.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,continuation,CON-025,0,69.45,70.0,69.725,True,82,84,75,30,75.0,80.0,70.0,55.0,,,,,,,,,,,,
QwQ-32B,story_generation,GEN-058,0,87.3,70.3,78.8,True,88,,,,75.0,,,,84,88,90,62.0,70.0,72.0,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-015,0,86.6,89.3,87.94999999999999,False,88,,,,92.0,,,,84,86,88,88.0,85.0,90.0,,,,,,
Qwen3-8B-Thinking,rewriting,REW-081,0,69.1,73.5,71.3,False,,,,72,,,,80.0,,,,,,,75,65,72,65.0,75.0,70.0
Doubao,rewriting,REW-035,0,87.8,77.9,82.85,True,,,,90,,,,85.0,,,,,,,90,86,88,72.0,78.0,75.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-095,0,65.95,51.5,58.725,True,72,,,,55.0,,,,55,60,76,45.0,50.0,55.0,,,,,,
chatglm3-6b,continuation,CON-046,0,53.15,54.25,53.7,True,45,50,45,82,45.0,55.0,50.0,75.0,,,,,,,,,,,,
QwQ-32B,rewriting,REW-009,0,87.0,80.8,83.9,True,,,,88,,,,85.0,,,,,,,88,86,88,75.0,82.0,78.0
Qwen2.5-7B-Instruct,continuation,CON-097,0,46.25,59.5,52.875,True,45,60,45,40,55.0,70.0,50.0,75.0,,,,,,,,,,,,
glm-4-9b-chat,rewriting,REW-056,0,66.0,63.0,64.5,True,,,,84,,,,80.0,,,,,,,82,50,78,85.0,45.0,75.0
glm-4-9b-chat,rewriting,REW-021,0,84.9,73.3,79.1,True,,,,86,,,,78.0,,,,,,,86,84,85,65.0,75.0,72.0
Qwen3-8B-Thinking,story_generation,GEN-035,0,48.25,76.2,62.225,False,45,,,,78.0,,,,35,55,70,72.0,75.0,80.0,,,,,,
chatglm3-6b,rewriting,REW-020,0,54.2,62.5,58.35,True,,,,68,,,,70.0,,,,,,,78,35,75,75.0,55.0,60.0
Qwen3-8B-NonThinking,story_generation,GEN-023,0,47.25,53.0,50.125,True,55,,,,55.0,,,,35,45,50,50.0,55.0,50.0,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-001,0,61.5,47.25,54.375,True,70,,,,55.0,,,,60,55,50,45.0,40.0,40.0,,,,,,
glm-4-9b-chat,story_generation,GEN-041,0,67.35,55.25,61.3,True,75,,,,55.0,,,,65,62,58,60.0,50.0,55.0,,,,,,
Baichuan2-7B-Chat,story_generation,GEN-017,0,47.0,39.5,43.25,True,55,,,,45.0,,,,40,45,40,40.0,35.0,30.0,,,,,,
Baichuan2-7B-Chat,story_generation,GEN-030,0,56.0,39.5,47.75,True,62,,,,45.0,,,,56,50,48,40.0,35.0,30.0,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-012,0,73.6,63.0,68.3,True,,,,78,,,,70.0,,,,,,,86,65,83,75.0,55.0,65.0
Qwen3-8B-NonThinking,story_generation,GEN-070,0,84.4,59.5,71.95,True,88,,,,65.0,,,,82,82,82,60.0,55.0,50.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-095,0,65.75,51.0,58.375,True,65,,,,55.0,,,,65,65,70,50.0,45.0,50.0,,,,,,
Doubao,rewriting,REW-024,0,81.3,78.3,79.8,True,,,,88,,,,80.0,,,,,,,88,75,86,85.0,75.0,78.0
internlm2_5-7b-chat,story_generation,GEN-084,0,76.15,61.15,68.65,True,82,,,,65.0,,,,72,78,65,58.0,62.0,55.0,,,,,,
Qwen3-8B-NonThinking,continuation,CON-095,0,40.0,52.5,46.25,True,45,75,35,15,55.0,70.0,50.0,40.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-068,0,48.5,37.5,43.0,True,,,,55,,,,50.0,,,,,,,50,45,50,55.0,25.0,40.0
chatglm3-6b,continuation,CON-044,0,52.35,44.25,48.3,True,60,65,60,18,55.0,45.0,40.0,35.0,,,,,,,,,,,,
Doubao,story_generation,GEN-086,0,83.45,82.8,83.125,True,88,,,,85.0,,,,84,80,75,82.0,83.0,78.0,,,,,,
Qwen3-8B-NonThinking,story_generation,GEN-009,0,50.5,62.05,56.275,True,50,,,,68.0,,,,35,60,65,55.0,62.0,58.0,,,,,,
Doubao,rewriting,REW-075,0,87.4,82.7,85.05000000000001,True,,,,90,,,,88.0,,,,,,,88,86,88,72.0,85.0,82.0
QwQ-32B,rewriting,REW-019,0,86.6,52.0,69.3,True,,,,86,,,,68.0,,,,,,,88,86,88,52.0,45.0,55.0
internlm2_5-7b-chat,story_generation,GEN-099,0,57.45,59.3,58.375,True,52,,,,62.0,,,,58,62,65,58.0,55.0,60.0,,,,,,
Doubao,continuation,CON-030,0,84.35,82.4,83.375,True,86,88,85,78,85.0,88.0,82.0,75.0,,,,,,,,,,,,
internlm2_5-7b-chat,continuation,CON-058,0,68.5,51.5,60.0,True,82,84,78,20,55.0,75.0,45.0,40.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-042,0,68.0,51.0,59.5,True,68,84,60,70,45.0,60.0,50.0,55.0,,,,,,,,,,,,
QwQ-32B,story_generation,GEN-088,0,55.75,81.9,68.825,True,50,,,,85.0,,,,50,60,75,78.0,82.0,80.0,,,,,,
Baichuan2-7B-Chat,story_generation,GEN-019,0,74.25,54.85,64.55,True,80,,,,58.0,,,,74,70,65,55.0,52.0,50.0,,,,,,
internlm2_5-7b-chat,continuation,CON-099,0,35.25,57.25,46.25,True,45,45,40,5,65.0,70.0,55.0,40.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-088,0,83.1,71.25,77.175,True,86,84,82,80,75.0,55.0,70.0,80.0,,,,,,,,,,,,
Qwen3-8B-Thinking,continuation,CON-081,0,43.2,49.75,46.475,False,45,78,40,20,55.0,70.0,45.0,35.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-040,0,56.9,61.0,58.95,True,,,,60,,,,60.0,,,,,,,58,55,58,75.0,55.0,65.0
internlm2_5-7b-chat,rewriting,REW-020,0,75.2,61.0,68.1,True,,,,78,,,,60.0,,,,,,,82,70,82,75.0,55.0,65.0
Doubao,rewriting,REW-008,0,77.8,68.0,72.9,True,,,,88,,,,80.0,,,,,,,88,68,86,85.0,55.0,75.0
Qwen3-8B-Thinking,continuation,CON-066,0,46.0,78.75,62.375,False,50,75,45,20,85.0,75.0,80.0,70.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-050,0,57.5,63.0,60.25,True,,,,65,,,,70.0,,,,,,,65,50,65,75.0,55.0,65.0
glm-4-9b-chat,story_generation,GEN-015,0,77.05,51.0,64.025,True,82,,,,55.0,,,,75,72,74,50.0,45.0,50.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-048,0,83.85,79.55,81.69999999999999,True,84,,,,82.0,,,,82,85,85,78.0,80.0,75.0,,,,,,
internlm2_5-7b-chat,continuation,CON-019,0,29.75,48.25,39.0,True,35,40,35,5,55.0,60.0,45.0,35.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,continuation,CON-012,0,45.25,51.0,48.125,True,55,80,45,5,45.0,75.0,55.0,35.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-076,0,59.8,70.0,64.9,True,75,72,70,10,75.0,80.0,70.0,55.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-034,0,66.45,58.7,62.575,True,68,,,,58.0,,,,65,70,60,62.0,55.0,60.0,,,,,,
Doubao,story_generation,GEN-055,0,86.9,81.3,84.1,True,88,,,,82.0,,,,86,85,88,78.0,85.0,80.0,,,,,,
Qwen3-8B-NonThinking,continuation,CON-039,0,53.75,52.5,53.125,True,65,70,65,5,55.0,70.0,50.0,40.0,,,,,,,,,,,,
Qwen3-8B-Thinking,rewriting,REW-008,0,87.0,72.7,79.85,False,,,,88,,,,70.0,,,,,,,88,86,88,72.0,75.0,68.0
Qwen3-8B-Thinking,rewriting,REW-042,0,79.8,63.0,71.4,False,,,,84,,,,70.0,,,,,,,84,76,82,75.0,55.0,65.0
glm-4-9b-chat,continuation,CON-018,0,68.0,64.25,66.125,True,68,84,60,70,65.0,70.0,55.0,75.0,,,,,,,,,,,,
chatglm3-6b,story_generation,GEN-059,0,52.25,50.0,51.125,True,50,,,,55.0,,,,55,55,50,45.0,50.0,45.0,,,,,,
Doubao,story_generation,GEN-002,0,90.1,84.85,87.475,True,92,,,,88.0,,,,90,88,88,85.0,82.0,80.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-059,0,72.0,51.0,61.5,True,75,,,,55.0,,,,74,65,70,50.0,45.0,50.0,,,,,,
glm-4-9b-chat,story_generation,GEN-060,0,43.3,54.85,49.075,True,45,,,,58.0,,,,40,45,42,55.0,52.0,50.0,,,,,,
glm-4-9b-chat,continuation,CON-023,0,46.35,57.75,52.05,True,30,75,30,78,55.0,65.0,50.0,70.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-047,0,59.3,37.5,48.4,True,,,,72,,,,50.0,,,,,,,78,45,68,55.0,25.0,40.0
chatglm3-6b,continuation,CON-031,0,28.75,32.0,30.375,True,30,55,30,5,35.0,40.0,30.0,25.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-008,0,83.0,67.8,75.4,True,85,,,,72.0,,,,82,84,78,68.0,65.0,60.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-055,0,52.5,22.75,37.625,True,60,75,55,20,25.0,35.0,20.0,15.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-014,0,52.85,51.0,51.925,True,50,,,,55.0,,,,55,58,50,50.0,45.0,50.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-074,0,74.0,69.5,71.75,True,78,,,,75.0,,,,72,70,72,70.0,65.0,60.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-078,0,28.5,12.75,20.625,True,35,50,30,0,15.0,25.0,10.0,5.0,,,,,,,,,,,,
chatglm3-6b,story_generation,GEN-078,0,50.5,29.5,40.0,True,50,,,,35.0,,,,55,50,45,30.0,25.0,20.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-018,0,84.8,65.75,75.275,True,84,86,82,90,65.0,55.0,60.0,85.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-049,0,24.5,35.5,30.0,True,,,,35,,,,50.0,,,,,,,20,20,35,25.0,35.0,30.0
Qwen2.5-7B-Instruct,continuation,CON-029,0,58.1,50.75,54.425,True,58,80,42,70,45.0,55.0,40.0,75.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-051,0,40.35,48.1,44.225,True,45,,,,52.0,,,,35,38,40,48.0,45.0,42.0,,,,,,
chatglm3-6b,rewriting,REW-049,0,51.0,50.5,50.75,True,,,,60,,,,60.0,,,,,,,55,45,55,55.0,45.0,50.0
Qwen2.5-7B-Instruct,story_generation,GEN-061,0,80.0,59.3,69.65,True,84,,,,62.0,,,,78,76,78,58.0,55.0,60.0,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-030,0,80.6,72.0,76.3,True,,,,82,,,,75.0,,,,,,,85,78,82,75.0,70.0,70.0
Doubao,story_generation,GEN-047,0,89.1,84.85,86.975,True,90,,,,88.0,,,,88,88,90,85.0,82.0,80.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-064,0,79.3,67.5,73.4,True,,,,82,,,,75.0,,,,,,,85,75,84,85.0,55.0,80.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-023,0,78.0,40.75,59.375,True,84,,,,35.0,,,,82,58,82,45.0,40.0,50.0,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-080,0,68.2,72.5,70.35,False,72,,,,72.0,,,,60,68,72,68.0,75.0,78.0,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-015,0,81.2,62.5,71.85,True,,,,86,,,,70.0,,,,,,,88,76,84,75.0,55.0,60.0
internlm2_5-7b-chat,rewriting,REW-071,0,64.7,55.0,59.85,True,,,,82,,,,60.0,,,,,,,88,45,82,75.0,45.0,55.0
glm-4-9b-chat,rewriting,REW-001,0,78.4,63.5,70.95,True,,,,76,,,,70.0,,,,,,,80,78,82,55.0,65.0,60.0
Qwen2.5-7B-Instruct,story_generation,GEN-010,0,80.0,65.65,72.825,True,85,,,,72.0,,,,80,76,72,65.0,58.0,60.0,,,,,,
internlm2_5-7b-chat,rewriting,REW-043,0,64.0,50.5,57.25,True,,,,70,,,,60.0,,,,,,,65,60,70,55.0,45.0,50.0
Qwen2.5-7B-Instruct,continuation,CON-099,0,60.0,64.75,62.375,True,65,70,60,45,55.0,75.0,60.0,80.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-016,0,82.0,63.0,72.5,True,,,,86,,,,70.0,,,,,,,90,76,88,75.0,55.0,65.0
Qwen2.5-7B-Instruct,rewriting,REW-059,0,71.3,53.5,62.4,True,,,,80,,,,75.0,,,,,,,78,65,72,55.0,45.0,50.0
QwQ-32B,story_generation,GEN-055,0,86.7,88.7,87.7,True,84,,,,92.0,,,,88,88,90,88.0,85.0,86.0,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-056,0,75.1,59.3,67.19999999999999,True,80,,,,62.0,,,,76,68,70,58.0,55.0,60.0,,,,,,
Doubao,story_generation,GEN-098,0,86.6,84.55,85.57499999999999,True,88,,,,88.0,,,,86,85,86,85.0,82.0,78.0,,,,,,
Qwen3-8B-Thinking,rewriting,REW-072,0,77.0,79.5,78.25,False,,,,80,,,,70.0,,,,,,,85,72,80,75.0,85.0,80.0
Baichuan2-7B-Chat,story_generation,GEN-098,0,56.75,31.0,43.875,True,55,,,,35.0,,,,55,60,60,30.0,25.0,30.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-022,0,69.3,65.75,67.525,True,70,84,62,70,65.0,75.0,60.0,70.0,,,,,,,,,,,,
chatglm3-6b,continuation,CON-093,0,36.1,51.0,43.55,True,45,35,45,8,55.0,60.0,50.0,40.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-072,0,70.8,57.5,64.15,True,,,,70,,,,60.0,,,,,,,70,72,68,65.0,55.0,50.0
Qwen3-8B-NonThinking,rewriting,REW-059,0,77.8,61.5,69.65,True,,,,82,,,,75.0,,,,,,,82,74,80,65.0,55.0,60.0
deepseek-llm-7b-chat,continuation,CON-005,0,40.0,37.75,38.875,True,55,45,45,5,45.0,35.0,40.0,25.0,,,,,,,,,,,,
deepseek-llm-7b-chat,continuation,CON-080,0,46.75,33.5,40.125,True,55,70,45,20,35.0,50.0,30.0,25.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-092,0,76.5,78.3,77.4,True,,,,80,,,,80.0,,,,,,,86,70,83,85.0,75.0,78.0
Doubao,continuation,CON-016,0,85.4,91.3,88.35,True,85,88,82,90,92.0,88.0,90.0,95.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-022,0,66.85,54.7,60.775,True,70,,,,58.0,,,,65,62,68,52.0,55.0,50.0,,,,,,
chatglm3-6b,continuation,CON-087,0,53.5,52.75,53.125,True,55,65,55,40,55.0,65.0,50.0,45.0,,,,,,,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-094,0,75.4,78.35,76.875,False,78,,,,78.0,,,,72,74,76,75.0,82.0,80.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-071,0,64.25,50.0,57.125,True,70,,,,55.0,,,,58,60,65,45.0,50.0,45.0,,,,,,
